"","Location","Circulation per Capita","Circulation per Borrower","Circulation per Staff FTE","Circulation per Visit","Circulation per Hour Open","Total Operating Expenditures per Circulation","% of Non-English Circulation to Total Circulation","% of Childrens Circulation to Total Circulation","Circulation of Childrens Materials per Child Borrower","Circulation of Electronic Materials","Physical Item Circulation","Circulation of Childrens Materials","Circulation of Non English Materials","Successful Retrieval of Electronic Information","Total Electronic Content Use","Total Annual Circulation","Total Content Use"
"146","SAN LEANDRO PUBLIC LIBRARY",0,0,0,NA,0,0,0,0,3.0783,48342,49894,21465,1328,7896,56238,NA,106132
"147","SAN MATEO COUNTY LIBRARIES",0,0,0,0,0,0,0,0,19.17327,733040,1342440,923730,118684,390443,1123483,NA,2465923
"148","SAN MATEO PUBLIC LIBRARY",0,0,0,0,0,0,0,0,12.71622,258352,399115,184754,29571,49385,307737,NA,706852
"149","SAN RAFAEL PUBLIC LIBRARY",0,0,0,0,0,0,0,0,6.66101,193017,181786,48712,2441,109759,302776,NA,484562
"150","SANTA ANA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,0.46908,22024,69117,45176,8802,15882,37906,NA,107023
"151","SANTA CLARA COUNTY LIBRARY",0,0,0,0,0,0,0,0,25.15683,3152444,4211606,3517705,230351,4172418,7324862,NA,11536468
"152","SANTA CLARITA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,10.34388,196893,377217,253632,4831,83226,280119,NA,657336
"153","SANTA CRUZ PUBLIC LIBRARIES",0,0,0,NA,0,0,0,0,4.31533,464875,672684,133991,15770,175998,640873,NA,1313557
"154","SANTA FE SPRINGS CITY LIBRARY",0,0,0,0,0,0,0,0,1.81824,10735,59867,24068,1362,934361,945096,NA,1004963
"155","SANTA MARIA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,8.03873,76691,142351,62686,5995,5386,82077,NA,224428
"156","SANTA MONICA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,29.72116,220803,397056,147625,17793,NA,220803,NA,617859
"157","SAUSALITO PUBLIC LIBRARY",0,0,0,0,0,0,0,0,51.57057,32868,58991,17173,99,NA,32868,NA,91859
"158","SHASTA PUBLIC LIBRARIES",0,0,0,0,0,0,0,0,8.8164,85517,296268,153811,1170,93342,178859,NA,475127
"159","SIERRA MADRE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,32.65692,10128,74547,53590,494,2391,12519,NA,87066
"160","SIGNAL HILL PUBLIC LIBRARY",0,0,0,0,0,0,0,0,3.16399,3259,6665,3743,132,NA,3259,NA,9924
"161","SIMI VALLEY PUBLIC LIBRARY",0,0,0,0,0,0,0,0,30.18563,67609,180071,133994,1363,1628,69237,NA,249308
"162","SISKIYOU COUNTY FREE LIBRARY",0,0,0,NA,0,0,0,0,8.59635,20216,64912,16015,38,NA,20216,NA,85128
"163","SOLANO COUNTY LIBRARY",0,0,0,0,0,0,0,0,8.5479,266666,1068680,472417,11201,128969,395635,NA,1464315
"164","SOUTH PASADENA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,44.56502,52026,149943,130219,1852,7184,59210,NA,209153
"165","SOUTH SAN FRANCISCO PUBLIC LIBRARY",0,0,0,0,0,0,0,0,7.69785,58026,187843,67564,5306,20321,78347,NA,266190
"166","ST. HELENA PUBLIC LIBRARY",0,0,0,0,0,0,0,0,48.91019,40974,88597,40302,1899,9693,50667,NA,139264
"167","STANISLAUS COUNTY FREE LIBRARY",0,0,0,0,0,0,0,0,8.25355,243601,477841,223011,8553,3282,246883,NA,724724
"168","SUNNYVALE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,32.9542,313356,609278,394989,31922,445139,758495,NA,1367773
"169","SUTTER COUNTY LIBRARY",0,0,0,NA,0,0,0,0,3.00636,21466,72694,29309,33,NA,21466,NA,94160
"170","THOUSAND OAKS LIBRARY",0,0,0,0,0,0,0,0,19.22176,212028,236037,139204,1406,300388,512416,NA,748453
"171","TORRANCE PUBLIC LIBRARY",0,0,0,0,0,0,NA,NA,0,62257,336001,NA,NA,12460728,12522985,NA,12858986
"172","TRINITY COUNTY FREE LIBRARY",0,0,0,0,0,0,NA,0,3.76142,3521,29692,4446,NA,NA,3521,NA,33213
"173","TULARE COUNTY FREE LIBRARY",0,0,0,0,0,0,0,0,6.61187,62808,134323,44802,2108,44997,107805,NA,242128
"174","TULARE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,6.07615,14947,51714,22901,1216,18864,33811,NA,85525
"175","TUOLUMNE COUNTY LIBRARY",0,0,0,0,0,0,0,0,1.9159,12737,54750,16927,228,4,12741,NA,67491
"176","UPLAND PUBLIC LIBRARY",0,0,0,0,0,0,0,0,19.10463,35926,116832,74680,1186,NA,35926,NA,152758
"177","VICTORVILLE CITY LIBRARY",0,0,0,0,0,0,0,0,2.06087,800,12768,7110,1000,NA,800,NA,13568
"178","WATSONVILLE PUBLIC LIBRARY",0,0,0,0,0,0,0,0,2.21863,103252,58330,24030,7802,35428,138680,NA,197010
"179","WHITTIER PUBLIC LIBRARY",0,0,0,0,0,0,0,0,2.62595,61198,55363,31577,478,635762,696960,NA,752323
"180","WILLOWS PUBLIC LIBRARY",0,0,0,0,0,0,0,0,0.97287,3787,13327,2941,42,0,3787,NA,17114
"181","WOODLAND PUBLIC LIBRARY",0,0,0,0,0,0,0,0,9.08339,27082,115349,57625,4148,1134,28216,NA,143565
"182","YOLO COUNTY LIBRARY",0,0,0,0,0,0,0,0,24.49116,225461,443462,200950,14021,25046,250507,NA,693969
