"","Location","Total Operating Income","Operating Income per Capita","Operating Income from Local Government per Capita","Operating Income from State Government per Capita","Operating Income from Federal Government per Capita","% of Operating Income from Local Government","% of Operating Income from State Government","% of Operating Income from Federal Government","% of Operating Income from Other Sources"
"175","TRINITY COUNTY FREE LIBRARY",370211,27.35212,25.9853,0.62061,0.5689,0.9500285,0.0226898,0.0207989,0.0064828
"176","ALPINE COUNTY LIBRARY/ARCHIVES",342797,302.02379,284.75507,7.92952,7.57709,0.9428233,0.0262546,0.0250877,0.0058344
"177","WILLOWS PUBLIC LIBRARY",340083,24.83627,20.88856,3.94771,0,0.8410506,0.1589494,0,0
"178","MARIPOSA COUNTY LIBRARY",329010,18.24084,14.24904,2.55031,0.55442,0.7811617,0.1398134,0.0303942,0.0486307
"179","CAMARILLO PUBLIC LIBRARY",311938,4.47492,0.05589,0.36079,0,0.0124897,0.080625,0,0.9068853
"180","DEL NORTE COUNTY LIBRARY DISTRICT",287098,10.65338,9.60889,1.00145,0,0.9019568,0.0940027,0,0.0040404
"181","MODOC COUNTY LIBRARY",286649,30.20219,23.46307,0,0,0.7768665,0,0,0.2231335
"182","LASSEN LIBRARY DISTRICT",192698,15.1385,4.0777,6.87957,0,0.2693593,0.4544417,0,0.276199
"183","SAN JUAN BAUTISTA CITY LIBRARY",50063,23.27429,23.01906,0,0,0.9890338,0,0,0.0109662
"184","Median",3380093,38.00988,36.17666,0.62061,0.221415,0.9428233,0.0149284,0.00665255,0.02294305
"185","Total",1841493887,NA,NA,NA,NA,NA,NA,NA,NA
"186","Average",10062808.125683,57.671969453552,53.826332404372,1.1469819463087,0.59744,0.91475241584699,0.036948398657718,0.019017139583333,0.052337663924051
"187","Maximum",188766555,346.43789,345.24791,8.80149,7.57709,1,0.4544417,0.178513,0.9068853
"188","Minimum",50063,4.47492,0.05589,0.01094,8e-05,0.0124897,0.0003503,2.1e-06,0.0005553
