"","Location","Total Expenditures","Expenditures per Capita","Total Operating Expenditures per Visit","Total Operating Expenditures per Open Hour","Total Operating Expenditures per Circulation","% Operating Expenditures on Staff","% of Operating Expenditures on Collection","% of Collection Expenditures on Print Materials","% of Collection Expenditures on Electronic Materials","% of Collection Expenditures on Serial Subscriptions","% of Collection Expenditures on Other Materials"
"14","SAN MATEO COUNTY LIBRARIES",32523236,111.7748,575.5544,13602.46875,0,0.5601039,0.0872594,0.4539382,0.4378535,0.009752,0.0984563
"15","SONOMA COUNTY LIBRARY",31460863,60.01875,517.62427,11104.88995,0,0.6767334,0.104374,0.1923676,0.5791965,0.0417286,0.1867073
"16","FRESNO COUNTY PUBLIC LIBRARY",29938503,29.85314,0,1689.92874,0,0.6843405,0.0845651,0.211735,0.5733765,0,0.2148884
"17","BERKELEY PUBLIC LIBRARY",23019545.11,174.18217,993.48757,70616.95872,0,0.6351765,0.0951284,0.3657921,0.5926018,0.015191,0.0264151
"18","SOUTH SAN FRANCISCO PUBLIC LIBRARY",22973941,78.06514,132.86272,2449.02009,0,0.8847796,0.0463237,0.4325474,0.3251407,0.0370791,0.2052328
"19","SOLANO COUNTY LIBRARY",20671956,49.44424,66.28915,1013.96431,0,0.6466699,0.0735051,0.3198257,0.5245738,0.0350817,0.1205188
"20","MARIN COUNTY FREE LIBRARY",19912128,129.95482,362.37083,5037.78471,0,0.6224766,0.0491725,0.4148739,0.4682148,0.0027956,0.1141158
"21","SAN BERNARDINO COUNTY LIBRARY",17652801,13.23789,27.17345,339.16268,0,0.5032337,0.096472,0.3867053,0.5934548,0.0198399,0
"22","LONG BEACH PUBLIC LIBRARY",14524735,30.93958,109.58842,3536.50293,0,0.6433073,0.0648941,0.6712398,0.2695156,0.0135171,0.0457275
"23","PASADENA PUBLIC LIBRARY",13355056.82,91.90988,199.60926,4372.97211,0,0.7085103,0.0604225,0.4961115,0.3786477,0.0785175,0.0467233
"24","SANTA CRUZ PUBLIC LIBRARIES",13144874,62.03959,0,1513.81363,0,0.6938784,0.0922022,0.2352043,0.6427575,0.0426061,0.0794321
"25","STOCKTON-SAN JOAQUIN COUNTY PUBLIC LIBRARY",12733162,17.81402,105.51266,597.29628,0,0.5458914,0.0817655,0.5254218,0.3957631,0.0533236,0.0254915
"26","STANISLAUS COUNTY FREE LIBRARY",11824798,20.35553,55.07121,1349.19218,0,0.6267817,0.0538155,0.500119,0.4272738,0.0095348,0.0630723
"27","BEVERLY HILLS PUBLIC LIBRARY",11735630,346.43789,1636.35681,20661.92679,0,0.474128,0.0487962,0.3019739,0.5806466,0.0580494,0.05933
"28","SAN LUIS OBISPO CITY-COUNTY LIBRARY",11477391,47.80274,48.85701,1307.81575,0,0.6256038,0.0824545,0.4972632,0.1876534,0.0194122,0.2956712
